continente,fator_risco,p7,IA21,EPG
Africa,1.0,1.1803751803751805,0.011831480827806343,0.013965586316227402
Africa,1.0,1.1803751803751805,0.011831480827806343,0.013965586316227402
Africa,1.0,1.3076923076923077,0.010787526637117548,0.014106765602384486
Africa,1.0,1.3076923076923077,0.010787526637117548,0.014106765602384486
Africa,1.0,1.3076923076923077,0.010787526637117548,0.014106765602384486
Africa,1.0,1.3076923076923077,0.010787526637117548,0.014106765602384486
Africa,1.0,1.3076923076923077,0.010787526637117548,0.014106765602384486
Africa,1.0,1.3076923076923077,0.012318659450127781,0.016109016204013255
Africa,1.0,1.3076923076923077,0.012318659450127781,0.016109016204013255
Africa,1.0,1.2476190476190474,0.0054285617915817335,0.006772777092354352
Africa,1.0,1.2476190476190474,0.0054285617915817335,0.006772777092354352
Africa,1.0,1.2476190476190474,0.0054285617915817335,0.006772777092354352
Africa,1.0,1.2476190476190474,0.0054285617915817335,0.006772777092354352
Africa,1.0,1.2476190476190474,0.0054285617915817335,0.006772777092354352
Africa,1.0,1.2476190476190478,0.0069596946045919665,0.008683047554300456
Africa,1.0,1.2476190476190478,0.0069596946045919665,0.008683047554300456
Africa,1.0,1.2857142857142858,0.005150174007398055,0.006621652295226071
Africa,1.0,1.2857142857142858,0.005150174007398055,0.006621652295226071
Africa,1.0,1.2857142857142858,0.005150174007398055,0.006621652295226071
Africa,1.0,1.2857142857142858,0.005150174007398055,0.006621652295226071
Africa,1.0,1.2857142857142858,0.005150174007398055,0.006621652295226071
Africa,1.0,1.2857142857142858,0.00626372514413277,0.008053360899599276
Africa,1.0,1.2857142857142858,0.00626372514413277,0.008053360899599276
Africa,1.0,1.2467532467532467,0.00417581676275518,0.005206213106811653
Africa,1.0,1.2467532467532467,0.00417581676275518,0.005206213106811653
Africa,1.0,1.2467532467532467,0.00417581676275518,0.005206213106811653
Africa,1.0,1.2467532467532467,0.00417581676275518,0.005206213106811653
Africa,1.0,1.2467532467532467,0.00417581676275518,0.005206213106811653
Africa,1.0,1.2467532467532467,0.0069596946045919665,0.008677021844686088
Africa,1.0,1.2467532467532467,0.0069596946045919665,0.008677021844686088
Africa,1.0,1.5,0.0054285617915817335,0.0081428426873726
Africa,1.0,1.5089285714285714,0.005498158737627653,0.008296328809456011
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,0.0,0.0,0.0
Europa,1.0,2.507691377929691,0.0,0.0
Europa,1.0,2.4288001199339555,0.0,0.0
Europa,1.0,2.281299849984706,0.3583075003019445,0.817406846687221
Europa,1.0,2.1518790315686718,0.39816417730182374,0.8568011442575854
Europa,1.0,2.0490337155446885,0.3926620771099212,0.8045778348140368
Europa,1.0,1.987028684052833,0.38138948159480385,0.7578318397249153
Europa,1.0,1.8332351160782474,0.40125072131191536,0.7355869126607296
Europa,1.0,1.6702427098134158,0.4684837017056511,0.7824814874402667
Europa,1.0,1.5129376487907467,0.4690204919682757,0.7095987603531624
Europa,1.0,1.4991810350341328,0.5087429714024987,0.7626978144335382
Europa,1.0,1.3944795543928028,0.5210891474428654,0.7266481621250525
Europa,1.0,1.280462345186914,0.51813680099843,0.663454663334095
Europa,1.0,1.2199431827260039,0.49572580753385137,0.6047573194022651
Europa,1.0,1.1935920527255048,0.5180026034327737,0.61828379074848
Europa,1.0,1.22856434099053,0.618650777674893,0.7600522849774338
Europa,1.0,1.464760660008935,0.6480400445535919,0.9492235633725388
Europa,1.0,1.4979729882885278,0.6493820202101533,0.9727567253550445
Europa,1.0,1.4740943459224904,0.6291181877960734,0.9273795635471954
Europa,1.0,1.3746887725928667,0.6126118872203659,0.8421506833187644
Europa,1.0,1.5945307006366871,0.7194331494826683,1.1471582439058576
Europa,1.0,1.8885162133698337,0.741978340512903,1.4012381260278606
Europa,1.0,2.1471485762675995,0.7983413180884898,1.7141574245092996
Europa,1.0,2.1471485762675995,0.8190077431995384,1.7585313097630286
Europa,1.0,2.0370758068418513,0.820483916421756,1.6713879360456108
Europa,1.0,2.0282067103010393,0.8282673752298133,1.6798974483645361
Europa,1.0,2.0509271642387774,0.7902894641491203,1.6208261296351383
Europa,1.0,1.8467520018617218,0.7395627843310922,1.3657890524658733
Europa,1.0,2.0856945539715337,0.8235704604318478,1.7177164241345333
Europa,1.0,1.692461471264767,0.9244870298052793,1.5646586786294374
Europa,1.0,1.320028094244234,0.9556208650375082,1.2614463892954884
Europa,1.0,1.2937470009988552,0.9734691412697773,1.2594227820827053
Europa,1.0,1.3640718408856947,0.9906464296737656,1.3513128989919343
Europa,1.0,1.4261928577134781,0.9435430841284539,1.3456744075289484
Europa,1.0,1.4084300528327691,0.9184481393507522,1.2935699614299385
Europa,1.0,0.9601993844186146,0.9656856824617202,0.9272507978416135
Europa,1.0,1.3534324671253815,1.0711649690674612,1.4497494467832568
Europa,1.0,1.4940961213314157,1.106727323966343,1.6535570021096104
Europa,1.0,1.5070829440492512,1.0562690392796275,1.5918850534256153
Europa,1.0,1.4174531356143267,1.0264771797039602,1.4549832970079293
Europa,1.0,1.3542534342332144,1.0050055691989748,1.361032243511218
Europa,1.0,1.341008693400495,1.005139766764631,1.347901165313916
Europa,1.0,1.3821464547217428,1.1374585665016037,1.5721343250830673
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
